Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades,Blank
2023-05-03,147.00,147.02,147.36,149.08,145.78,147.14,147.398,3028395,446407971.65,6158,
2023-05-02,145.66,145.74,150.00,150.54,145.24,146.12,147.274,3595186,529474290.63,7587,
2023-04-28,149.86,149.92,150.74,151.60,148.90,149.88,149.844,3557712,533095840.41,6659,
2023-04-27,149.84,149.88,151.46,152.76,149.66,150.00,150.772,3861560,582217929.3,6611,
2023-04-26,151.14,151.20,152.22,152.94,149.92,151.36,151.206,3468642,524381360.31,5813,
2023-04-25,152.62,152.66,155.98,155.98,152.02,152.94,152.999,2233228,341664745.54,5247,
2023-04-24,154.50,154.54,155.50,155.66,154.22,154.96,154.987,2405876,368882988.28,4120,
2023-04-21,155.02,155.08,154.84,155.30,153.72,155.30,154.894,1940944,300632915.04,3801,
2023-04-20,154.72,154.74,155.00,155.40,152.74,154.84,154.144,2356479,363191690.46,5407,
2023-04-19,154.84,154.90,155.44,156.38,154.46,155.04,155.072,1878565,291314763.33,4436,
2023-04-18,155.24,155.28,156.76,157.30,154.68,155.36,155.612,1994608,310358639.17,4434,
2023-04-17,156.34,156.40,154.78,157.30,154.76,156.54,156.424,4039856,631929934.04,6688,
2023-04-14,154.98,155.00,153.00,155.74,152.84,154.78,154.483,4062479,627567279.9,9202,
2023-04-13,152.14,152.22,150.76,152.58,150.18,152.24,151.549,2946628,446527909.99,6946,
2023-04-12,150.68,150.76,151.82,152.24,149.70,150.34,150.756,3527371,531785188.16,7908,
2023-04-11,152.00,152.06,152.00,153.54,150.50,151.92,152.006,3802235,577958213.3,8614,
2023-04-06,150.62,150.68,148.08,151.00,147.76,151.00,149.935,1690794,253486236.04,3367,
2023-04-05,148.14,148.16,152.00,152.50,147.30,148.08,149.244,4060503,606130002.44,8455,
2023-04-04,149.68,149.72,147.82,150.36,146.58,149.70,149.283,4742076,707887908.73,9309,
2023-04-03,146.08,146.10,149.00,150.60,145.52,146.66,148.191,6042465,895897578.64,12119,
2023-03-31,146.94,146.98,145.00,149.50,143.60,147.82,147.301,9186570,1353274592.78,19019,
2023-03-30,142.68,142.76,131.40,146.24,129.32,142.90,140.29,19783306,2770272842.82,40024,
2023-03-29,122.54,122.58,122.98,123.06,121.12,122.86,122.523,4052032,496455917.31,6606,
2023-03-28,121.80,121.86,123.16,124.16,120.80,121.90,122.058,2132679,260316730.69,4374,
2023-03-27,122.46,122.50,122.46,124.16,121.78,122.02,122.54,2599616,318634450.55,3776,
2023-03-24,121.00,121.08,123.42,123.46,120.64,121.20,121.503,2833725,344333795.06,6238,
2023-03-23,123.72,123.78,124.84,124.96,122.92,123.94,123.891,2400649,297421132.44,5085,
2023-03-22,124.58,124.62,124.56,126.74,124.46,124.86,125.362,1745070,218781409.94,3557,
2023-03-21,124.72,124.76,123.44,125.84,123.22,124.52,124.527,2594687,322940827.77,4616,
2023-03-20,122.02,122.06,123.00,123.00,119.92,122.44,121.88,2912583,355204080.93,5443,
2023-03-17,122.78,122.84,125.96,126.50,121.50,122.72,123.595,4677635,578082413.78,8971,
2023-03-16,125.38,125.42,124.26,125.88,121.92,125.38,124.63,5085827,633810219.97,9520,
2023-03-15,123.28,123.38,131.30,131.50,121.80,122.94,124.377,8311640,1033926996.09,16961,
2023-03-14,133.92,133.96,132.70,135.30,131.66,134.32,133.889,3541181,474111585.68,5129,
2023-03-13,133.00,133.06,133.26,134.30,130.00,132.88,132.352,3751919,496562042.72,8241,
2023-03-10,132.56,132.60,132.94,133.62,131.36,132.28,132.234,2876304,380347400.23,5944,
2023-03-09,135.78,135.82,134.58,136.36,134.10,135.74,135.516,2377869,322066789.92,5105,
2023-03-08,134.64,134.70,133.64,135.34,133.64,134.70,134.723,2805489,377962641.31,4442,
2023-03-07,133.72,133.76,135.00,136.44,133.28,133.64,134.429,2533114,340685788.93,5071,
2023-03-06,135.86,135.90,134.00,137.48,134.00,135.60,136.013,3837966,520317894.26,6505,
2023-03-03,133.62,133.66,132.20,133.80,132.14,133.20,133.193,2086359,277885915.77,4237,
2023-03-02,131.70,131.74,130.08,133.26,130.04,132.00,131.986,1927443,254486048.92,4515,
2023-03-01,130.76,130.82,132.04,133.16,130.58,130.90,131.625,1979380,260571040.69,4473,
